unique_id,pdp_url,competitor_name
00-870262,https://shop.billa.at/produkte/billa-frisee-salat-00870262,Billa
00-89815,https://shop.billa.at/produkte/spitzpaprika-rot-0089815,Billa
00-89532,https://shop.billa.at/produkte/da-komm-ich-her-erdaepfel-speckig-0089532,Billa
00-407972,https://shop.billa.at/produkte/da-komm-ich-her-jungzwiebel-00407972,Billa
00-89521,https://shop.billa.at/produkte/ja-natuerlich-salaterdaepfel-festkochend-0089521,Billa
00-804458,https://shop.billa.at/produkte/wunderlinge-erdaepfel-00804458,Billa
00-429158,https://shop.billa.at/produkte/da-komm-ich-her-heurige-erdaepfel-vorwiegend-festkochend-00429158,Billa
00-490089,https://shop.billa.at/produkte/billa-bio-suesskartoffeln-lose-00490089,Billa
00-481676,https://shop.billa.at/produkte/die-grillerei-ofen-und-grillerdaepfel-00481676,Billa
00-729360,https://shop.billa.at/produkte/ja-natuerlich-heurige-vofe-00729360,Billa
00-89574,https://shop.billa.at/produkte/pfanni-erdaepfel-speckig-0089574,Billa
00-758868,https://shop.billa.at/produkte/gut-hardegg-speisekartoffeln-festkochend-00758868,Billa
00-750424,https://shop.billa.at/produkte/ja-natuerlich-heurige-mehlig-00750424,Billa
00-429100,https://shop.billa.at/produkte/da-komm-ich-her-zwiebel-gelb-00429100,Billa
00-407973,https://shop.billa.at/produkte/ja-natuerlich-zwiebel-rot-00407973,Billa
00-413813,https://shop.billa.at/produkte/da-komm-ich-her-zwiebel-rot-00413813,Billa
00-410615,https://shop.billa.at/produkte/ja-natuerlich-zwiebel-gelb-00410615,Billa
00-346427,https://shop.billa.at/produkte/clever-zwiebel-gelb-00346427,Billa
00-410627,https://shop.billa.at/produkte/billa-bio-knoblauch-00410627,Billa
00-410234,https://shop.billa.at/produkte/zwiebel-tricolore-00410234,Billa
00-444016,https://shop.billa.at/produkte/da-komm-ich-her-zwiebel-rot-00444016,Billa
00-882815,https://shop.billa.at/produkte/ja-natuerlich-zwiebelzopf-rot-00882815,Billa
00-882816,https://shop.billa.at/produkte/ja-natuerlich-zwiebelzopf-gelb-00882816,Billa
00-401924,https://shop.billa.at/produkte/ja-natuerlich-snacktomaten-00401924,Billa
00-410026,https://shop.billa.at/produkte/clever-cherrytomaten-00410026,Billa
00-89942,https://shop.billa.at/produkte/datteltomaten-0089942,Billa
00-402113,https://shop.billa.at/produkte/clever-tomaten-00402113,Billa
00-89033,https://shop.billa.at/produkte/da-komm-ich-her-cherrytomaten-suesse-sophie-0089033,Billa
00-322663,https://shop.billa.at/produkte/ja-natuerlich-bio-raritaeten-paradeiser-00322663,Billa
00-729131,https://shop.billa.at/produkte/billa-genusswelt-dattelcherrytomaten-00729131,Billa
00-778921,https://shop.billa.at/produkte/da-komm-ich-her-wiener-cherry-paradeiser-mix-00778921,Billa
00-400428,https://shop.billa.at/produkte/da-komm-ich-her-eissalat-00400428,Billa
00-410636,https://shop.billa.at/produkte/da-komm-ich-her-haeuptelsalat-00410636,Billa
00-410867,https://shop.billa.at/produkte/ja-natuerlich-batavia-salat-00410867,Billa
00-401305,https://shop.billa.at/produkte/ja-natuerlich-bio-salatherzen-00401305,Billa
00-429154,https://shop.billa.at/produkte/da-komm-ich-her-grazer-krauthaeuptelsalat-00429154,Billa
00-617783,https://shop.billa.at/produkte/ja-natuerlich-bio-spezialsalat-00617783,Billa
00-426468,https://shop.billa.at/produkte/ja-natuerlich-babyleaf-mixsalat-00426468,Billa
00-705315,https://shop.billa.at/produkte/billa-genusswelt-salatherzen-00705315,Billa
00-723236,https://shop.billa.at/produkte/clever-mischsalat-00723236,Billa
00-435520,https://shop.billa.at/produkte/ja-natuerlich-vogerlsalat-00435520,Billa
00-511704,https://shop.billa.at/produkte/billa-bio-mungobohnensprossen-00511704,Billa
00-475740,https://shop.billa.at/produkte/ja-natuerlich-bio-vogerlsalat-00475740,Billa
00-714038,https://shop.billa.at/produkte/ja-natuerlich-bio-jungspinat-00714038,Billa
00-718332,https://shop.billa.at/produkte/ja-natuerlich-rucola-00718332,Billa
00-310265,https://shop.billa.at/produkte/beerenmix-00310265,Billa
00-778923,https://shop.billa.at/produkte/die-grillerei-burger-salat-00778923,Billa
00-817739,https://shop.billa.at/produkte/ananas-geschnitten-00817739,Billa
00-883321,https://shop.billa.at/produkte/simply-good-wassermelonen-wuerfel-00883321,Billa
00-883323,https://shop.billa.at/produkte/simply-good-ananas-wuerfel-00883323,Billa
00-883325,https://shop.billa.at/produkte/simply-good-granatapfel-kerne-00883325,Billa
00-883326,https://shop.billa.at/produkte/simply-good-tropical-mix-00883326,Billa
00-883329,https://shop.billa.at/produkte/simply-good-mango-00883329,Billa
00-884716,https://shop.billa.at/produkte/die-grillerei-xxl-salat-schale-00884716,Billa
00-888428,https://shop.billa.at/produkte/billa-crispy-salat-00888428,Billa
00-888432,https://shop.billa.at/produkte/billa-mediterraner-salat-00888432,Billa
00-888433,https://shop.billa.at/produkte/billa-wildkraeutersalat-00888433,Billa
00-890105,https://shop.billa.at/produkte/simply-good-eisbergsalat-geschnitten-00890105,Billa
00-890108,https://shop.billa.at/produkte/simply-good-jungspinat-00890108,Billa
00-890112,https://shop.billa.at/produkte/simply-good-kopfsalat-mit-kraeutern-00890112,Billa
00-890114,https://shop.billa.at/produkte/simply-good-rucola-salat-00890114,Billa
