parent_url,name,link
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Plastic Microwaveable Take-Out Containers,https://www.webstaurantstore.com/803/plastic-microwaveable-take-out-containers.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Paper Take-Out Boxes,https://www.webstaurantstore.com/11987/paper-take-out-boxes.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Deli Containers,https://www.webstaurantstore.com/779/deli-take-out-containers.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Foil Take-Out Containers & Lids,https://www.webstaurantstore.com/791/foil-take-out-containers-lids.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Souffle and Portion Cups & Lids,https://www.webstaurantstore.com/715/souffle-portion-cups-lids.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Eco-Friendly Dinnerware,https://www.webstaurantstore.com/599/eco-friendly-dinnerware-.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Eco-Friendly To-Go Containers,https://www.webstaurantstore.com/795/eco-friendly-to-go-containers.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Eco-Friendly Disposable Cutlery,https://www.webstaurantstore.com/53575/eco-friendly-disposable-cutlery.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Eco-Friendly Straws,https://www.webstaurantstore.com/9449/eco-friendly-straws.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Paper Bags,https://www.webstaurantstore.com/15969/paper-bags.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Plastic Bags,https://www.webstaurantstore.com/323/plastic-bags.html
https://www.webstaurantstore.com/categories.html,Food Packaging Wrap,https://www.webstaurantstore.com/425/food-packaging-wrap.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Vacuum Packaging Machine Bags,https://www.webstaurantstore.com/14281/vacuum-packaging-machine-bags.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,"Disposable Tablecloths, Runners & Skirts",https://www.webstaurantstore.com/755/disposable-table-covers-skirting.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Plastic Serving Utensils,https://www.webstaurantstore.com/673/plastic-serving-utensils.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Disposable Serving and Catering Trays,https://www.webstaurantstore.com/51387/disposable-serving-and-catering-trays.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Aluminum Foil Steam Table Pans & Lids,https://www.webstaurantstore.com/215/aluminum-foil-steam-table-pans-lids.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Catering and To Go Bowls,https://www.webstaurantstore.com/685/plastic-take-out-deli-catering-bowls-and-lids.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Cake Boxes and Bakery Boxes,https://www.webstaurantstore.com/353/cake-boxes-and-bakery-boxes.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Plastic Cake Containers,https://www.webstaurantstore.com/12945/cake-take-out-containers.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Pie Containers,https://www.webstaurantstore.com/12963/pie-take-out-containers.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Aluminum Foil Pans,https://www.webstaurantstore.com/197/aluminum-foil-pans.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,"Cake Circles, Cake Pads, and Cake Boards",https://www.webstaurantstore.com/227/cake-circles-cake-pads-and-cake-boards.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Baking Cups and Cupcake Liners,https://www.webstaurantstore.com/221/baking-cups.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Parchment Paper and Pan Liners,https://www.webstaurantstore.com/229/parchment-paper-and-pan-liners.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Concession Food Bags,https://www.webstaurantstore.com/283/concession-food-bags.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Paper French Fry Bags and Cups,https://www.webstaurantstore.com/593/paper-french-fry-bags-and-cups.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Disposable Ice Cream and Frozen Yogurt Cups,https://www.webstaurantstore.com/52615/disposable-ice-cream-and-frozen-yogurt-cups.html
https://www.webstaurantstore.com/restaurant-disposable-supplies.html,Disposable Popcorn Supplies,https://www.webstaurantstore.com/16207/disposable-popcorn-supplies.html
https://www.webstaurantstore.com/restaurant-storage-transport.html,Regency Shelving,https://www.webstaurantstore.com/48403/regency-shelving.html
https://www.webstaurantstore.com/restaurant-storage-transport.html,Wire Shelving,https://www.webstaurantstore.com/47477/wire-shelving.html
