product_name,website,product_url
Limette,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/13946/s/limette-0080066/category/64/
Schweizer Äpfel rot,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/13891/s/schweizer-aepfel-rot-0080229/category/64/
Schweizer Bio Romana,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/13774/s/schweizer-bio-romana-0084426/category/64/
Bio Baby Spinat,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/13744/s/bio-baby-spinat-0084440/category/64/
Dattelcherry-Tomaten,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/13741/s/dattelcherry-tomaten-0082411/category/64/
Schweizer Äpfel rot,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/13737/s/schweizer-aepfel-rot-0080220/category/64/
Orangen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/13690/s/orangen-0080135/category/64/
Mango,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12928/s/mango-0080711/category/64/
Bio Kiwi grün,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12921/s/bio-kiwi-gruen-0081676/category/64/
Bio Avocado,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12919/s/bio-avocado-0081671/category/64/
Physalis,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12913/s/physalis-0080735/category/64/
Papaya,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12911/s/papaya-0080725/category/64/
Kiwi Gold,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12906/s/kiwi-gold-0080690/category/64/
Kiwi,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12905/s/kiwi-0080676/category/64/
Kaki,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12902/s/kaki-0080656/category/64/
Avocado,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12896/s/avocado-0080619/category/64/
Grapefruit,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12893/s/grapefruit-0080041/category/64/
Mandarinen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12891/s/mandarinen-0080085/category/64/
Bio Zitronen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12890/s/bio-zitronen-0081540/category/64/
Bio Zitronen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12889/s/bio-zitronen-0081536/category/64/
Bio Orangen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12888/s/bio-orangen-0081532/category/64/
Zitrone,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12885/s/zitrone-0080161/category/64/
Orangen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12882/s/orangen-0080142/category/64/
Bio Heidelbeeren,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12866/s/bio-heidelbeeren-0081685/category/64/
Himbeeren,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12863/s/himbeeren-0080838/category/64/
Himbeeren,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12862/s/himbeeren-0080835/category/64/
Heidelbeeren,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12860/s/heidelbeeren-0080823/category/64/
Schweizer Erdbeeren,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12852/s/schweizer-erdbeeren-0080801/category/64/
Brombeeren,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12851/s/brombeeren-0080790/category/64/
Plattpfirsiche,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12850/s/plattpfirsiche-0080446/category/64/
Bio Nektarinen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12846/s/bio-nektarinen-0081591/category/64/
Plattnektarinen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12843/s/plattnektarinen-0080451/category/64/
Plattpfirsiche,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12842/s/plattpfirsiche-0080445/category/64/
Pflaumen dunkel,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12839/s/pflaumen-dunkel-0080415/category/64/
Pflaumen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12838/s/pflaumen-0080410/category/64/
Pfirsiche,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12836/s/pfirsiche-0080403/category/64/
Pfirsiche,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12835/s/pfirsiche-0080395/category/64/
Nektarinen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12834/s/nektarinen-0080388/category/64/
Nektarinen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12832/s/nektarinen-0080380/category/64/
Kirschen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12831/s/kirschen-0080355/category/64/
Aprikosen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12830/s/aprikosen-0080346/category/64/
Aprikosen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12828/s/aprikosen-0080340/category/64/
Schweizer Äpfel grün,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12827/s/schweizer-aepfel-gruen-0080188/category/64/
Schweizer Bio Äpfel rot,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12824/s/schweizer-bio-aepfel-rot-0081560/category/64/
Nashi Birnen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12821/s/nashi-birnen-0080316/category/64/
Birnen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12817/s/birnen-0080281/category/64/
Birnen lose,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12816/s/birnen-lose-0080275/category/64/
Schweizer Äpfel rot,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12815/s/schweizer-aepfel-rot-0080236/category/64/
Schweizer Äpfel rot,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12813/s/schweizer-aepfel-rot-0080227/category/64/
Äpfel Pink Lady,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12812/s/aepfel-pink-lady-0080215/category/64/
Schweizer Äpfel grün,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12810/s/schweizer-aepfel-gruen-0080185/category/64/
Wassermelone,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12806/s/wassermelone-0080575/category/64/
Wassermelone,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12805/s/wassermelone-0080570/category/64/
Trauben hell kernlos,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12790/s/trauben-hell-kernlos-0080505/category/64/
Trauben rot,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12789/s/trauben-rot-0080490/category/64/
Trauben rot kernlos,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12788/s/trauben-rot-kernlos-0080485/category/64/
Trauben Mix,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12786/s/trauben-mix-0080475/category/64/
Bananen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12780/s/bananen-0080000/category/64/
Bio Quinoa tricolore / weiss,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12437/s/bio-quinoa-tricolore-weiss-0119437/category/64/
Bio Hülsenfrüchte,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12412/s/bio-huelsenfruechte-0119562/category/64/
Schweizer Blumenkohl,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11887/s/schweizer-blumenkohl-0082875/category/64/
Schweizer Weisskabis,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11879/s/schweizer-weisskabis-0082955/category/64/
Schweizer Pak Choi,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11876/s/schweizer-pak-choi-0082922/category/64/
Schweizer Chinakohl,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11874/s/schweizer-chinakohl-0082910/category/64/
Broccoli,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11873/s/broccoli-0082904/category/64/
Schweizer Broccoli,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11872/s/schweizer-broccoli-0082895/category/64/
Schweizer Eisbergsalat,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11867/s/schweizer-eisbergsalat-0082031/category/64/
Rucola,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11865/s/rucola-0082135/category/64/
Schweizer Eichblattsalat,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11862/s/schweizer-eichblattsalat-0082026/category/64/
Schweizer Kopfsalat,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11861/s/schweizer-kopfsalat-0082071/category/64/
Schweizer Bio Rucola,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11858/s/schweizer-bio-rucola-0084520/category/64/
Schweizer Bio Eisbergsalat,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11855/s/schweizer-bio-eisbergsalat-0084505/category/64/
Schweizer Bio Eichblattsalat,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11854/s/schweizer-bio-eichblattsalat-0084425/category/64/
Schweizer Kopfsalatherzen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11852/s/schweizer-kopfsalatherzen-0082150/category/64/
Schweizer Triosalat mit,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11849/s/schweizer-triosalat-mit-0082114/category/64/
Schweizer Kopfsalat rot,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11848/s/schweizer-kopfsalat-rot-0082072/category/64/
Schweizer Kopfsalatherzen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11847/s/schweizer-kopfsalatherzen-0082069/category/64/
Endivien Lavata,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11845/s/endivien-lavata-0082041/category/64/
Schweizer Bio Rispentomaten,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11841/s/schweizer-bio-rispentomaten-0084570/category/64/
Schweizer Bio Dattelcherry-,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11839/s/schweizer-bio-dattelcherry--0084560/category/64/
Schweizer Tomaten San Marzano,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11836/s/schweizer-tomaten-san-marzano-0082505/category/64/
Schweizer Tomaten Coeur de Boeuf,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11835/s/schweizer-tomaten-coeur-de-boeuf-0082500/category/64/
Schweizer Tomaten,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11832/s/schweizer-tomaten-0082480/category/64/
Romatomaten,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11830/s/romatomaten-0082446/category/64/
Schweizer Cherry-Rispentomaten,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11829/s/schweizer-cherry-rispentomaten-0082437/category/64/
Bio Zucchetti,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11819/s/bio-zucchetti-0084545/category/64/
Schweizer Auberginen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11818/s/schweizer-auberginen-0082180/category/64/
Bio Gurke,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11816/s/bio-gurke-0084535/category/64/
Schweizer Zucchetti,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11808/s/schweizer-zucchetti-0082345/category/64/
Stangenbohnen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11807/s/stangenbohnen-0082327/category/64/
Schweizer Spinat,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11806/s/schweizer-spinat-0082319/category/64/
