name,url
"Outdoor Fryers, Boilers, and Steamers",https://www.webstaurantstore.com/14727/outdoor-steamers-and-outdoor-fryers.html
Turkey Fryers,https://www.webstaurantstore.com/56119/turkey-fryers.html
Gas Connectors and Gas Hoses,https://www.webstaurantstore.com/14821/gas-connectors-and-gas-hoses.html
Exhaust Hood Filters and Accessories,https://www.webstaurantstore.com/14823/exhaust-hood-filters-and-accessories.html
Range Parts and Accessories,https://www.webstaurantstore.com/15053/range-parts-and-accessories.html
Reach-In Refrigerators,https://www.webstaurantstore.com/52705/reach-in-refrigerators.html
Solid Door Reach-In Refrigerators,https://www.webstaurantstore.com/52705/reach-in-refrigerators.html?filter=door-type:solid
Glass Door Reach-In Refrigerators,https://www.webstaurantstore.com/52705/reach-in-refrigerators.html?filter=door-type:glass
Reach-In Freezers,https://www.webstaurantstore.com/52711/reach-in-freezers.html
Solid Door Reach-In Freezers,https://www.webstaurantstore.com/52711/reach-in-freezers.html?filter=door-type:solid
Glass Door Reach-In Freezers,https://www.webstaurantstore.com/52711/reach-in-freezers.html?filter=door-type:glass
Combination Reach-In Refrigerators and Freezers,https://www.webstaurantstore.com/13447/commercial-combination-refrigerators-freezers.html
Solid Door Combination Refrigerators / Freezers,https://www.webstaurantstore.com/13447/commercial-combination-refrigerators-freezers.html?filter=door-type:solid
Glass Door Combination Refrigerators / Freezers,https://www.webstaurantstore.com/13447/commercial-combination-refrigerators-freezers.html?filter=door-type:glass
VersaHub Smart Refrigerators,https://www.webstaurantstore.com/52705/reach-in-refrigerators.html?filter=features:versahub-compatible
Merchandising Reach-In Refrigerators,https://www.webstaurantstore.com/21387/merchandising-glass-door-refrigerators-coolers.html
Sliding Door Merchandising Refrigerators,https://www.webstaurantstore.com/21387/merchandising-glass-door-refrigerators-coolers.html?filter=door-style:sliding
Swinging Door Merchandising Refrigerators,https://www.webstaurantstore.com/21387/merchandising-glass-door-refrigerators-coolers.html?filter=door-style:swing
Air Curtain Merchandisers,https://www.webstaurantstore.com/54811/horizontal-vertical-air-curtain-merchandisers.html
Horizontal Air Curtain Merchandisers,https://www.webstaurantstore.com/54811/horizontal-vertical-air-curtain-merchandisers.html?filter=style:horizontal
Vertical Air Curtain Merchandisers,https://www.webstaurantstore.com/54811/horizontal-vertical-air-curtain-merchandisers.html?filter=style:vertical
Air Curtain Merchandiser Parts and Accessories,https://www.webstaurantstore.com/22205/air-curtain-merchandiser-parts-and-accessories.html
Merchandising Reach-In Freezers,https://www.webstaurantstore.com/21389/merchandising-glass-door-freezers.html
