product_name,pdp_url
"Senčilo za oči Puzzle Party Metallic 020, 1,7 g",https://www.dm.si/p/d/3112655/trend-t-up-sencilo-za-oci-puzzle-party-metallic-020
"Senčilo za veke Mono Eyeshadow Matte, 01 Soft Beige, 2 g",https://www.dm.si/p/d/3117004/essence-sencilo-za-veke-mono-eyeshadow-matte-01-soft-beige
"Kremno senčilo za oči v stiku Cleopatra, 1,8 g",https://www.dm.si/p/d/3050109/indy-beauty-kremno-sencilo-za-oci-v-stiku-cleopatra
"Senčilo za veke Mono Eyeshadow Pearly, 02 Silky Taupe, 2 g",https://www.dm.si/p/d/3117032/essence-sencilo-za-veke-mono-eyeshadow-pearly-02-silky-taupe
"Senčilo za veke Mono Eyeshadow Pearly, 03 Bronzed Espresso, 2 g",https://www.dm.si/p/d/3117014/essence-sencilo-za-veke-mono-eyeshadow-pearly-03-bronzed-espresso
"Senčilo za veke Puzzle Party Metallic 040, 1,7 g",https://www.dm.si/p/d/3112657/trend-t-up-sencilo-za-veke-puzzle-party-metallic-040
"Senčilo za veke Mono Eyeshadow Matte, 02 Neutral Brown, 2 g",https://www.dm.si/p/d/3117005/essence-sencilo-za-veke-mono-eyeshadow-matte-02-neutral-brown
"Senčilo za veke Metallic Puzzle Party 010, 1,7 g",https://www.dm.si/p/d/3112654/trend-t-up-sencilo-za-veke-metallic-puzzle-party-010
"Senčilo za veke Puzzle Party Metallic 050, 1,7 g",https://www.dm.si/p/d/3112658/trend-t-up-sencilo-za-veke-puzzle-party-metallic-050
"Senčilo za veke Puzzle Party Metallic 030, 1,7 g",https://www.dm.si/p/d/3112656/trend-t-up-sencilo-za-veke-puzzle-party-metallic-030
"Senčilo za veke in lica Luminous Touch - 030, 4,6 g",https://www.dm.si/p/d/3112644/trend-t-up-sencilo-za-veke-in-lica-luminous-touch-030
"Senčilo za veke Puzzle Party Matte 060, 1,5 g",https://www.dm.si/p/d/3112653/trend-t-up-sencilo-za-veke-puzzle-party-matte-060
