unique_id,competitor_name,product_name,brand_name,selling_price,currency,image_1,image_2,image_3,rating,pdp_url
4066447594065,dm,"Paleta senčil za veke, 60 Emerald Dreams, 11,2 g",alverde NATURKOSMETIK,5.95,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1755055158/assets/pas/images/df4fa8be-af1c-4ecd-b672-e48747f6f604/alverde-naturkosmetik-paleta-sencil-za-veke-60-emerald-dreams","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747484067/assets/pas/images/541b43fd-6fd6-4163-820e-d9e19ce68285/alverde-naturkosmetik-paleta-sencil-za-veke-60-emerald-dreams",,4.67,https://www.dm.si/p/d/1453274/alverde-naturkosmetik-paleta-sencil-za-veke-60-emerald-dreams
4059729583543,dm,"Senčilo za veke Mono Eyeshadow Glitter, 02 Rosy Sparkle, 2 g",essence,2.40,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1773875432/assets/pas/images/f42bc638-a5d1-4f57-b0d9-f0698a4163ec/essence-sencilo-za-veke-mono-eyeshadow-glitter-02-rosy-sparkle",,,4.59,https://www.dm.si/p/d/3116977/essence-sencilo-za-veke-mono-eyeshadow-glitter-02-rosy-sparkle
3830068592219,dm,"Kremno senčilo za oči v stiku Tierra, 1,8 g",INDY BEAUTY,21.95,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747426958/assets/pas/images/5ffa64e2-b6f5-41dd-b169-df2d1557b480/indy-beauty-kremno-sencilo-za-oci-v-stiku-tierra","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747426958/assets/pas/images/540db473-39f3-48ba-9d78-13b8d7d18ea3/indy-beauty-kremno-sencilo-za-oci-v-stiku-tierra","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747426959/assets/pas/images/c9d4ec94-9ec9-4af9-b402-cfb5d87efe5d/indy-beauty-kremno-sencilo-za-oci-v-stiku-tierra",,https://www.dm.si/p/d/3049901/indy-beauty-kremno-sencilo-za-oci-v-stiku-tierra
5903416074137,dm,"Senčilo za veke Wonder Match, 04 Brown, 3 g",EVELINE COSMETICS,7.50,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747505519/assets/pas/images/c6f72557-b7d4-4944-a4d4-7644794b83cc/eveline-cosmetics-sencilo-za-veke-wonder-match-04-brown",,,,https://www.dm.si/p/d/2977915/eveline-cosmetics-sencilo-za-veke-wonder-match-04-brown
5903416048497,dm,"Look Up paleta senčil za veke Take Me On ..., 11 g",EVELINE COSMETICS,10.30,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747504956/assets/pas/images/5b77e1ca-9721-4099-8b46-4defcb29e1e7/eveline-cosmetics-look-up-paleta-sencil-za-veke-take-me-on",,,,https://www.dm.si/p/d/2278260/eveline-cosmetics-look-up-paleta-sencil-za-veke-take-me-on
4066447531527,dm,"Senčilo za veke Mono, 23 Pearly Grey, 1,5 g",alverde NATURKOSMETIK,2.65,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1759099483/assets/pas/images/de9b2402-ccad-486e-86ee-d7f1cc62c4fc/alverde-naturkosmetik-sencilo-za-veke-mono-23-pearly-grey","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1759527374/assets/pas/images/0d9d8cd3-984c-40cb-a5ed-568f6db0b7b5/alverde-naturkosmetik-sencilo-za-veke-mono-23-pearly-grey",,4.53,https://www.dm.si/p/d/1453308/alverde-naturkosmetik-sencilo-za-veke-mono-23-pearly-grey
4059729583529,dm,"Senčilo za veke Mono Eyeshadow Glitter, 01 Frosted Shine, 2 g",essence,2.40,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1773876014/assets/pas/images/39114b58-0980-4549-b758-f1711809929c/essence-sencilo-za-veke-mono-eyeshadow-glitter-01-frosted-shine",,,4.58,https://www.dm.si/p/d/3117003/essence-sencilo-za-veke-mono-eyeshadow-glitter-01-frosted-shine
5903416074151,dm,"Senčilo za veke Wonder Match, 06 Rose Glow, 3 g",EVELINE COSMETICS,7.50,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1771457597/assets/pas/images/83197385-2c6c-438e-99f8-725a9f63e287/eveline-cosmetics-sencilo-za-veke-wonder-match-06-rose-glow",,,,https://www.dm.si/p/d/2977917/eveline-cosmetics-sencilo-za-veke-wonder-match-06-rose-glow
5903416048473,dm,"Look Up paleta senčil za veke Let's Try!, 11 g",EVELINE COSMETICS,10.30,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747505516/assets/pas/images/5d2d24f5-8ab5-46f1-b9a8-a207fe27aeb5/eveline-cosmetics-look-up-paleta-sencil-za-veke-let-s-try",,,,https://www.dm.si/p/d/2278259/eveline-cosmetics-look-up-paleta-sencil-za-veke-let-s-try
4059729583574,dm,"Senčilo za veke Mono Eyeshadow Glitter, 03 Blushed Stardust, 2 g",essence,2.40,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1773875433/assets/pas/images/5d362594-b543-4347-bb05-f3e4f7559b19/essence-sencilo-za-veke-mono-eyeshadow-glitter-03-blushed-stardust",,,4.89,https://www.dm.si/p/d/3116989/essence-sencilo-za-veke-mono-eyeshadow-glitter-03-blushed-stardust
